periode,m1,m2,n,DM,pval,sig
2019,LightGBM + Bagging,Ridge + Bagging,12,-7.934528392198642,2.220446049250313e-15,***
2019,LinearRegression,Ridge + Bagging,12,-0.43695087799639065,0.6621469728360143,
2020,AR(1),AR(p),12,0.9407893223988505,0.34681283380933725,
2020,AR(1),LightGBM + Bagging,12,3.862274927902171,0.00011233604405314068,***
2020,AR(1),LinearRegression,12,1.3000135283741865,0.19359633253511888,
2020,AR(1),Ridge + Bagging,12,1.9108447147087486,0.05602453950354347,*
2020,AR(p),LightGBM + Bagging,12,4.057656404508558,4.956762094199263e-05,***
2020,AR(p),LinearRegression,12,1.3217047342511128,0.18626649157974295,
2020,AR(p),Ridge + Bagging,12,2.0395350932247367,0.041396652491769714,**
2020,LightGBM + Bagging,LinearRegression,12,-1.7531429858351413,0.07957746659139708,*
2020,LightGBM + Bagging,Ridge + Bagging,12,-2.339704345823466,0.019299010729027177,**
2020,LinearRegression,Ridge + Bagging,12,0.12796967129071782,0.898172974469968,
2021,AR(1),AR(p),12,0.3272833486321556,0.7434535854365021,
2021,AR(1),LightGBM + Bagging,12,5.854531418808848,4.783567764121699e-09,***
2021,AR(1),LinearRegression,12,5.097928315201781,3.433907989069951e-07,***
2021,AR(1),Ridge + Bagging,12,5.473203674489602,4.419716415071662e-08,***
2021,AR(p),LightGBM + Bagging,12,4.529280290959624,5.918494221823778e-06,***
2021,AR(p),LinearRegression,12,4.187668018663,2.818353634959081e-05,***
2021,AR(p),Ridge + Bagging,12,4.304344259319864,1.6748106036690302e-05,***
2021,LightGBM + Bagging,LinearRegression,12,-0.6444404179948885,0.5192898823020355,
2021,LightGBM + Bagging,Ridge + Bagging,12,-3.4891377160934094,0.0004845814246317026,***
2021,LinearRegression,Ridge + Bagging,12,-1.8540591568800044,0.06373069712077362,*
2022,AR(1),AR(p),12,-0.8558134736665289,0.3921009612889539,
2022,AR(1),LightGBM + Bagging,12,-2.2428280644323446,0.024907903982748003,**
2022,AR(1),LinearRegression,12,-1.2096126392385806,0.22642756591475566,
2022,AR(1),Ridge + Bagging,12,-1.5812740031461445,0.113815401050267,
2022,AR(p),LightGBM + Bagging,12,-2.5601308562101335,0.010463275698561647,**
2022,AR(p),LinearRegression,12,-1.2840657730734044,0.19911894265787744,
2022,AR(p),Ridge + Bagging,12,-1.807269679930504,0.0707202411028871,*
2022,LightGBM + Bagging,LinearRegression,12,3.4804738189648203,0.0005005277400988994,***
2022,LightGBM + Bagging,Ridge + Bagging,12,3.000007420583013,0.0026997302901943243,***
2022,LinearRegression,Ridge + Bagging,12,-5.076643105832158,3.8416148395725713e-07,***
2023,AR(1),AR(p),12,6.676537364447969,2.44653186598498e-11,***
2023,AR(1),LightGBM + Bagging,12,3.0293365806370978,0.0024509146051632236,***
2023,AR(1),LinearRegression,12,5.019746053005147,5.173983332884546e-07,***
2023,AR(1),Ridge + Bagging,12,5.605269266094464,2.0793145205644237e-08,***
2023,AR(p),LightGBM + Bagging,12,0.8706396768015885,0.383950925238876,
2023,AR(p),LinearRegression,12,2.1640346855908335,0.030461687484265365,**
2023,AR(p),Ridge + Bagging,12,2.506593580181868,0.012190078491649992,**
2023,LightGBM + Bagging,LinearRegression,12,1.2520118947215795,0.21056552973331044,
2023,LightGBM + Bagging,Ridge + Bagging,12,1.425745290753316,0.15394187804580373,
2023,LinearRegression,Ridge + Bagging,12,2.031884690988217,0.04216533070824369,**
2024,AR(1),AR(p),12,-0.36090494331003764,0.7181705080759786,
2024,AR(1),LightGBM + Bagging,12,-1.8782840611736915,0.06034231580768301,*
2024,AR(1),LinearRegression,12,1.98016511287739,0.047684978595055494,**
2024,AR(1),Ridge + Bagging,12,1.5081410975566816,0.13151841875095682,
2024,AR(p),LightGBM + Bagging,12,-2.1086411310011264,0.0349755697556442,**
